,partida_id,rodata,clube,chutes,chutes_no_alvo,posse_de_bola,passes,precisao_passes,faltas,cartao_amarelo,cartao_vermelho,impedimentos,escanteios
15225,7620,36,Fluminense,6,4,52.0,334,80.0,18,3,0,0,3
15226,7621,36,Internacional,17,6,54.0,478,84.0,16,1,0,1,3
15227,7621,36,Santos,13,5,46.0,412,82.0,17,2,0,1,5
15228,7610,35,Bahia,14,2,52.0,364,81.0,20,2,1,0,5
15229,7610,35,Atletico-GO,12,3,48.0,358,79.0,16,5,0,6,4
15230,7611,35,Bragantino,13,0,54.0,376,81.0,25,3,0,2,4
15231,7611,35,Juventude,9,2,46.0,334,76.0,15,3,0,2,0
15232,7612,35,America-MG,24,7,53.0,409,79.0,10,2,0,0,8
15233,7612,35,Chapecoense,10,3,47.0,369,76.0,11,2,0,0,9
15234,7622,36,Flamengo,15,5,52.0,427,84.0,20,6,0,3,8
15235,7622,36,Ceara,12,4,48.0,410,83.0,19,1,0,3,6
15236,7623,36,Palmeiras,13,5,41.0,337,78.0,10,1,1,0,4
15237,7623,36,Cuiaba,21,6,59.0,455,84.0,15,4,0,3,12
15238,7595,32,Atletico-MG,19,9,53.0,425,80.0,12,3,0,1,6
15239,7595,32,Bahia,13,3,47.0,387,77.0,13,2,0,1,4
15240,7613,35,Gremio,17,8,45.0,398,76.0,17,3,0,0,6
15241,7613,35,Sao Paulo,5,1,55.0,488,82.0,13,2,0,1,0
15242,7614,35,Cuiaba,8,1,35.0,273,76.0,14,5,1,2,2
15243,7614,35,Athletico-PR,19,3,65.0,502,89.0,15,4,0,1,8
15244,7615,35,Sport,15,9,47.0,397,85.0,13,2,0,0,6
15245,7615,35,Flamengo,22,7,53.0,426,87.0,11,3,0,0,6
15246,7624,36,Atletico-GO,9,1,57.0,477,84.0,17,3,0,0,4
15247,7624,36,Chapecoense,8,0,43.0,354,77.0,17,2,0,3,3
15248,7625,36,Juventude,11,3,47.0,363,79.0,14,0,0,0,4
